Reference,DOI,Year,Class,Formula,Parsed_Formula_SiteA1,Parsed_Formula_nSiteA1,Parsed_Formula_SiteA2,Parsed_Formula_nSiteA2,Parsed_Formula_SiteA3,Parsed_Formula_nSiteA3,Parsed_Formula_SiteB1,Parsed_Formula_nSiteB1,Parsed_Formula_SiteB2,Parsed_Formula_nSiteB2,Parsed_Formula_SiteB3,Parsed_Formula_nSiteB3,Parsed_Formula_SiteC1,Parsed_Formula_nSiteC1,Parsed_Formula_SiteC2,Parsed_Formula_nSiteC2,Parsed_Formula_O,Parsed_Formula_nO,Ea,A,EaHT,AHT,T*,Type_of_conductivity,Measurement_temperature_range,Measurement,Source,Plot type
"Sharma et al., Solid State Ion. 58, 359 (1992).",10.1016/0167-2738(92)90141-B,1992,"Perovskite-related, others (V-layered)",Bi4V1.9Zn0.1O10.85,Bi,4,,,,,V,1.9,Zn,0.1,,,,,,,O,10.85,477.0430488,7.918623129,915.1972198,28726.60499,811.0149558,"(not clearly mentioned, probably total)",500 - 900 K,AC,Fig. 2,log sigma-1000/T
"Sharma et al., Solid State Ion. 58, 359 (1992).",10.1016/0167-2738(92)90141-B,1992,"Perovskite-related, others (V-layered)",Bi4V1.8Zn0.2O10.7,Bi,4,,,,,V,1.8,Zn,0.2,,,,,,,O,10.7,946.6011302,339628.2715,0,1,,"(not clearly mentioned, probably total)",500 - 900 K,AC,Fig. 2,log sigma-1000/T
"Sharma et al., Solid State Ion. 58, 359 (1992).",10.1016/0167-2738(92)90141-B,1992,"Perovskite-related, others (V-layered)",Bi4V1.9Al0.1O10.9,Bi,4,,,,,V,1.9,Al,0.1,,,,,,,O,10.9,365.4380639,0.679985549,1015.033204,875158.9417,840.2190229,"(not clearly mentioned, probably total)",500 - 900 K,AC,Fig. 2,log sigma-1000/T
"Sharma et al., Solid State Ion. 58, 359 (1992).",10.1016/0167-2738(92)90141-B,1992,"Perovskite-related, others (V-layered)",Bi4V1.8Al0.2O10.8,Bi,4,,,,,V,1.8,Al,0.2,,,,,,,O,10.8,482.8911481,6.433469264,936.9193805,233284.2329,821.5093834,"(not clearly mentioned, probably total)",500 - 900 K,AC,Fig. 2,log sigma-1000/T
"Sharma et al., Solid State Ion. 58, 359 (1992).",10.1016/0167-2738(92)90141-B,1992,"Perovskite-related, others (V-layered)",Bi4V1.9Ti0.1O10.95,Bi,4,,,,,V,1.9,Ti,0.1,,,,,,,O,10.95,517.1489665,14.36853116,1191.633975,18239687.4,801.5347268,"(not clearly mentioned, probably total)",500 - 900 K,AC,Fig. 2,log sigma-1000/T
"Sharma et al., Solid State Ion. 58, 359 (1992).",10.1016/0167-2738(92)90141-B,1992,"Perovskite-related, others (V-layered)",Bi4V1.8Ti0.2O10.9,Bi,4,,,,,V,1.8,Ti,0.2,,,,,,,O,10.9,917.6176907,396664.5846,0,1,,"(not clearly mentioned, probably total)",500 - 900 K,AC,Fig. 2,log sigma-1000/T
"Sharma et al., Solid State Ion. 58, 359 (1992).",10.1016/0167-2738(92)90141-B,1992,"Perovskite-related, others (V-layered)",Bi4V1.9Ge0.1O10.95,Bi,4,,,,,V,1.9,Ge,0.1,,,,,,,O,10.95,588.0730364,23.37633411,1119.364006,1984635.548,834.6939342,"(not clearly mentioned, probably total)",500 - 900 K,AC,Fig. 2,log sigma-1000/T
"Sharma et al., Solid State Ion. 58, 359 (1992).",10.1016/0167-2738(92)90141-B,1992,"Perovskite-related, others (V-layered)",Bi4V1.8Ge0.2O10.9,Bi,4,,,,,V,1.8,Ge,0.2,,,,,,,O,10.9,519.0750037,2.786869979,460.2326291,654.6863037,863.0583652,"(not clearly mentioned, probably total)",500 - 900 K,AC,Fig. 2,log sigma-1000/T
"Kuramochi et al., J. Ceram. Soc. Jpn. 102, 1159 (1994).",10.2109/jcersj.102.1159,1994,"Perovskite-related, brownmillerites",Ba1.78Pb0.16In2O5,Ba,1.78,Pb,0.16,,,In,2,,,,,,,,,O,5,974.428513,643268.9508,,,,"(not clearly mentioned, probably total)",673 - 1273 K,vector impedance meter,Fig. 2,log sigma-1000/T
"Kuramochi et al., J. Ceram. Soc. Jpn. 102, 1159 (1994).",10.2109/jcersj.102.1159,1994,"Perovskite-related, brownmillerites",Ba1.6Pb0.18In2O5,Ba,1.6,Pb,0.18,,,In,2,,,,,,,,,O,5,1039.835239,1076125.662,,,,"(not clearly mentioned, probably total)",673 - 1273 K,vector impedance meter,Fig. 2,log sigma-1000/T
"Yan & Greenblatt, Solid State Ion. 81, 225 (1995).",10.1016/0167-2738(95)00187-B,1995,"Perovskite-related, others (V-layered)",Bi4V2O11,Bi,4,,,,,V,2,,,,,,,,,O,11,878.7124912,175339.8897,1083.423114,17068224.02,667.7093577,"(not clearly mentioned, probably total)",573 - 873 K,AC,Fig. 3(b),log sigma-1000/T
"Yan & Greenblatt, Solid State Ion. 81, 225 (1995).",10.1016/0167-2738(95)00187-B,1995,"Perovskite-related, others (V-layered)",Bi4V1.9Pb0.1O10.95,Bi,4,,,,,V,1.9,Pb,0.1,,,,,,,O,10.95,884.5284177,299278.5849,914.5159512,5415035.744,628.2377417,"(not clearly mentioned, probably total)",574 - 873 K,AC,Fig. 3(b),log sigma-1000/T
"Yan & Greenblatt, Solid State Ion. 81, 225 (1995).",10.1016/0167-2738(95)00187-B,1995,"Perovskite-related, others (V-layered)",Bi4V1.9Zr0.1O10.95,Bi,4,,,,,V,1.9,Zr,0.1,,,,,,,O,10.95,750.0518922,26475.80637,1062.178566,105244894.4,547.7739798,"(not clearly mentioned, probably total)",575 - 873 K,AC,Fig. 3(b),log sigma-1000/T
"Yan & Greenblatt, Solid State Ion. 81, 225 (1995).",10.1016/0167-2738(95)00187-B,1995,"Perovskite-related, others (V-layered)",Bi4V1.9Sn0.1O10.95,Bi,4,,,,,V,1.9,Sn,0.1,,,,,,,O,10.95,1011.620825,28460150.16,,,,"(not clearly mentioned, probably total)",576 - 873 K,AC,Fig. 3(b),log sigma-1000/T
"Yan & Greenblatt, Solid State Ion. 81, 225 (1995).",10.1016/0167-2738(95)00187-B,1995,"Perovskite-related, others (V-layered)",Bi4V1.8Zr0.2O10.9,Bi,4,,,,,V,1.8,Zr,0.2,,,,,,,O,10.9,914.9625847,4549488.073,680.2371551,249235.0894,753.2079032,"(not clearly mentioned, probably total)",577 - 873 K,AC,Fig. 5,log sigma-1000/T
"Yan & Greenblatt, Solid State Ion. 81, 225 (1995).",10.1016/0167-2738(95)00187-B,1995,"Perovskite-related, others (V-layered)",Bi4V1.75Zr0.25O10.875,Bi,4,,,,,V,1.75,Zr,0.25,,,,,,,O,10.875,915.8841491,296077.0477,564.6096891,2750.701256,748.3709506,"(not clearly mentioned, probably total)",578 - 873 K,AC,Fig. 5,log sigma-1000/T
"Yan & Greenblatt, Solid State Ion. 81, 225 (1995).",10.1016/0167-2738(95)00187-B,1995,"Perovskite-related, others (V-layered)",Bi4V1.7Zr0.3O10.85,Bi,4,,,,,V,1.7,Zr,0.3,,,,,,,O,10.85,952.7176358,282260.0419,732.9684915,28851.13823,745.5739663,"(not clearly mentioned, probably total)",579 - 873 K,AC,Fig. 5,log sigma-1000/T
"Yan & Greenblatt, Solid State Ion. 81, 225 (1995).",10.1016/0167-2738(95)00187-B,1995,"Perovskite-related, others (V-layered)",Bi4V1.8Sn0.2O10.9,Bi,4,,,,,V,1.8,Sn,0.2,,,,,,,O,10.9,941.3499344,2686865.784,615.8488228,42992.92685,739.971617,"(not clearly mentioned, probably total)",580 - 873 K,AC,Fig. 6,log sigma-1000/T
"Yan & Greenblatt, Solid State Ion. 81, 225 (1995).",10.1016/0167-2738(95)00187-B,1995,"Perovskite-related, others (V-layered)",Bi4V1.75Sn0.25O10.875,Bi,4,,,,,V,1.75,Sn,0.25,,,,,,,O,10.875,908.1998447,2207551.636,438.4171785,2821.188014,758.9566453,"(not clearly mentioned, probably total)",581 - 873 K,AC,Fig. 6,log sigma-1000/T
"Yan & Greenblatt, Solid State Ion. 81, 225 (1995).",10.1016/0167-2738(95)00187-B,1995,"Perovskite-related, others (V-layered)",Bi4V1.7Sn0.3O10.85,Bi,4,,,,,V,1.7,Sn,0.3,,,,,,,O,10.85,910.2959282,8426475.874,511.6565602,22495.26436,753.1622789,"(not clearly mentioned, probably total)",582 - 873 K,AC,Fig. 6,log sigma-1000/T
"Yan & Greenblatt, Solid State Ion. 81, 225 (1995).",10.1016/0167-2738(95)00187-B,1995,"Perovskite-related, others (V-layered)",Bi4V1.6Sn0.4O10.8,Bi,4,,,,,V,1.6,Sn,0.4,,,,,,,O,10.8,860.6462184,110722.1949,647.5180452,4801.631423,742.6031213,"(not clearly mentioned, probably total)",583 - 873 K,AC,Fig. 6,log sigma-1000/T
"Yan & Greenblatt, Solid State Ion. 81, 225 (1995).",10.1016/0167-2738(95)00187-B,1995,"Perovskite-related, others (V-layered)",Bi4V1.8Ti0.2O10.9,Bi,4,,,,,V,1.8,Ti,0.2,,,,,,,O,10.9,811.932582,3106818.454,,,,"(not clearly mentioned, probably total)",584 - 873 K,AC,Fig. 7,log sigma-1000/T
"Yan & Greenblatt, Solid State Ion. 81, 225 (1995).",10.1016/0167-2738(95)00187-B,1995,"Perovskite-related, others (V-layered)",Bi4V1.7Ti0.3O10.85,Bi,4,,,,,V,1.7,Ti,0.3,,,,,,,O,10.85,698.8758851,1501990.025,,,,"(not clearly mentioned, probably total)",585 - 873 K,AC,Fig. 7,log sigma-1000/T
"Kurek et al., Ionics 2, 474 (1996).",10.1007/BF02375830,1996,"Perovskite-related, others (V-layered)",Bi4V1.8Mg0.2O10.7,Bi,4,,,,,V,1.8,Mg,0.2,,,,,,,O,10.7,910.9872765,1544353039,446.4407337,4869439.456,709.6863961,total,370 - 950 K,AC,Fig. 3,log sigmaT - 1000/T
"Uchimoto et al., Electrochemistry, 68, 531 (2000).",10.5796/electrochemistry.68.531,2000,"Perovskite-related, brownmillerites",Ba2La0In2O5,Ba,2,La,0,,,In,2,,,,,,,,,O,5,1046.710787,62430.33493,,,,total,770 - 1300 K,AC,Fig. 3,log sigma-1000/T
"Uchimoto et al., Electrochemistry, 68, 531 (2000).",10.5796/electrochemistry.68.531,2000,"Perovskite-related, brownmillerites",Ba1.6La0.4In2O5.2,Ba,1.6,La,0.4,,,In,2,,,,,,,,,O,5.2,1021.702182,601941.6232,,,,total,770 - 1300 K,AC,Fig. 3,log sigma-1000/T
"Uchimoto et al., Electrochemistry, 68, 531 (2000).",10.5796/electrochemistry.68.531,2000,"Perovskite-related, brownmillerites",Ba1.2La0.8In2O5.4,Ba,1.2,La,0.8,,,In,2,,,,,,,,,O,5.4,851.7823631,94677.0869,,,,total,770 - 1300 K,AC,Fig. 3,log sigma-1000/T
"Uchimoto et al., Electrochemistry, 68, 531 (2000).",10.5796/electrochemistry.68.531,2000,"Perovskite-related, brownmillerites",BaLaIn2O5.5,Ba,1,La,1,,,In,2,,,,,,,,,O,5.5,710.6179993,12211.64693,,,,total,770 - 1300 K,AC,Fig. 3,log sigma-1000/T
"Yao et al., Solid State Ion. 132, 189 (2000).",10.1016/S0167-2738(00)00658-5,2000,"Perovskite-related, brownmillerites",Ba2In1.5Ga0.5O5,Ba,2,,,,,In,1.5,Ga,0.5,,,,,,,O,5,902.2975764,231524.9537,,,,total,773 - 1273 K,AC,Fig. 7,log sigma-1000/T
"Yao et al., Solid State Ion. 132, 189 (2000).",10.1016/S0167-2738(00)00658-5,2000,"Perovskite-related, brownmillerites",Ba2In1.4Ga0.6O5,Ba,2,,,,,In,1.4,Ga,0.6,,,,,,,O,5,865.7845186,44904.25903,,,,total,773 - 1273 K,AC,Fig. 7,log sigma-1000/T
"Yao et al., Solid State Ion. 132, 189 (2000).",10.1016/S0167-2738(00)00658-5,2000,"Perovskite-related, brownmillerites",Ba2In1.3Ga0.7O5,Ba,2,,,,,In,1.3,Ga,0.7,,,,,,,O,5,877.5559235,41079.98108,,,,total,773 - 1273 K,AC,Fig. 7,log sigma-1000/T
"Yao et al., Solid State Ion. 132, 189 (2000).",10.1016/S0167-2738(00)00658-5,2000,"Perovskite-related, brownmillerites",Ba2In1.2Ga0.8O5,Ba,2,,,,,In,1.2,Ga,0.8,,,,,,,O,5,834.6325901,16697.35507,,,,total,773 - 1273 K,AC,Fig. 7,log sigma-1000/T
"Yao et al., Solid State Ion. 132, 189 (2000).",10.1016/S0167-2738(00)00658-5,2000,"Perovskite-related, brownmillerites",Ba2In1.1Ga0.9O5,Ba,2,,,,,In,1.1,Ga,0.9,,,,,,,O,5,830.6056246,16000.6545,,,,total,773 - 1273 K,AC,Fig. 7,log sigma-1000/T
"Patrakeev et al., Solid State Ion. 907 (2004).",10.1016/j.solidstatesciences.2004.05.002,2004,"Perovskite-related, brownmillerites",SrFeO2.5,Sr,1,,,,,Fe,1,,,,,,,,,O,2.5,2940.035003,1.04126E+16,288.2129347,4789.728714,1087.87913,total,1023 - 1223 K,four-probe DC,Fig. 4,log sigma-1000/T
"Patrakeev et al., Solid State Ion. 907 (2004).",10.1016/j.solidstatesciences.2004.05.002,2004,"Perovskite-related, Ruddlesden-Popper",Sr3Fe2O6,Sr,3,,,,,Fe,2,,,,,,,,,O,6,1336.273601,9231162.645,2520.132483,1.43807E+12,1147.028934,total,1023 - 1223 K,four-probe DC,Fig. 4,log sigma-1000/T
"Shin et al., J. Mater. Chem. 21, 874 (2011).",10.1039/c0jm01978j,2011,"Perovskite-related, brownmillerites",Ba2In2O5,Ba,2,,,,,In,2,,,,,,,,,O,5,1046.710787,62430.33493,,,,bulk,400 - 1000 K,AC,Fig. 5,log sigmaT - 1000/T
"Shin et al., J. Mater. Chem. 21, 874 (2011).",10.1039/c0jm01978j,2011,"Perovskite-related, brownmillerites",Ba2In1.9P0.1O5.1,Ba,2,,,,,In,1.9,P,0.1,,,,,,,O,5.1,1021.702182,601941.6232,,,,bulk,400 - 1000 K,AC,Fig. 5,log sigmaT - 1000/T
"Shin et al., J. Mater. Chem. 21, 874 (2011).",10.1039/c0jm01978j,2011,"Perovskite-related, brownmillerites",Ba2In1.8P0.2O5.2,Ba,2,,,,,In,1.8,P,0.2,,,,,,,O,5.2,851.7823631,94677.0869,,,,bulk,400 - 1000 K,AC,Fig. 5,log sigmaT - 1000/T
"Shin et al., J. Mater. Chem. 21, 874 (2011).",10.1039/c0jm01978j,2011,"Perovskite-related, brownmillerites",Ba2In1.7P0.3O5.3,Ba,2,,,,,In,1.7,P,0.3,,,,,,,O,5.3,710.6179993,12211.64693,,,,bulk,400 - 1000 K,AC,Fig. 5,log sigmaT - 1000/T
"Ishihara, J. Ceram. Soc. Jpn. 122, 179 (2014).",10.2109/jcersj2.122.179,2014,"Perovskite-related, Ruddlesden-Popper",Pr1.9Ni0.71Cu0.24Ga0.05O4,Pr,1.9,,,,,Ni,0.71,Cu,0.24,Ga,0.05,,,,,O,4,1197.183703,109159451.5,,,,"(not clearly mentioned, probably total)",873 - 1173 K,(not mentioned),Fig. 5,log sigmaT - 1000/T
"Fujii et al., Chem. Mater. 26, 2488 (2014).",10.1021/cm500776x,2014,"Perovskite-related, others (Nd-layered)",NdBaInO4,Nd,1,,,,,Ba,1,,,,,In,1,,,O,4,1031.218187,878.2986944,1725.25946,1209061.435,1100,total,925 - 1317 K,four-probe DC,Fig. 2,log sigma-1000/T
"Lopez et al., J. Appl. Cryst. 47, 1395 (2014).",10.1107/S1600576714013491,2014,"Perovskite-related, others (A-site vacancies)",Sr11Mo4O23,Sr,11,,,,,Mo,4,,,,,,,,,O,23,457.527235,0.589569956,636.0545904,12839.1529,751.077161,"(not clearly mentioned, probably total)",450 - 1250 K,two-probe AC,Fig. 6,log sigmaT - 1000/T
"Fujii et al., J. Mater. Chem. 3, 11985 (2015).",10.1039/c5ta01336d,2015,"Perovskite-related, others (Nd-layered)",NdBaInO4,Nd,1,,,,,Ba,1,,,,,In,1,,,O,4,887.6297128,8325.879422,,,,total,890 - 1380 K,four-probe DC,Fig. 2(b),log sigma-1000/T
"Fujii et al., J. Mater. Chem. 3, 11985 (2015).",10.1039/c5ta01336d,2015,"Perovskite-related, others (Nd-layered)",Nd0.9Sr0.1BaInO3.95,Nd,0.9,Sr,0.1,,,Ba,1,,,,,In,1,,,O,3.95,989.1197783,750.1686465,,,,total,890 - 1380 K,four-probe DC,Fig. 2(b),log sigma-1000/T
"Fop et al., J. Am. Chem. Soc. 138, 16764 (2016).",10.1021/jacs.6b10730,2016,"Perovskite-related, hexagonal",Ba3NbMoO8.5,Ba,3,,,,,Nb,1,Mo,1,,,,,,,O,8.5,1152.848652,11792499.3,,,,bulk,570 - 875 K,two-probe AC,Fig. 2,log sigma-1000/T
"Yang et al., J. Phys. Chem. C 120, 6416 (2016).",10.1021/acs.jpcc.6b00700,2016,"Perovskite-related, others (Nd-layered)",Nd0.95Ca0.05BaInO3.975,Nd,0.95,Ca,0.05,,,Ba,1,,,,,In,1,,,O,3.975,867.5023052,123769.5138,,,,bulk,575 - 1110 K,AC,Fig. 6(a),log sigma-1000/T
"Yang et al., J. Phys. Chem. C 120, 6416 (2016).",10.1021/acs.jpcc.6b00700,2016,"Perovskite-related, others (Nd-layered)",Nd0.9Ca0.1BaInO3.95,Nd,0.9,Ca,0.1,,,Ba,1,,,,,In,1,,,O,3.95,804.5045341,73249.6216,,,,bulk,575 - 1110 K,AC,Fig. 6(a),log sigma-1000/T
"Yang et al., J. Phys. Chem. C 120, 6416 (2016).",10.1021/acs.jpcc.6b00700,2016,"Perovskite-related, others (Nd-layered)",Nd0.8Ca0.2BaInO3.9,Nd,0.8,Ca,0.2,,,Ba,1,,,,,In,1,,,O,3.9,632.491129,9887.597521,,,,bulk,575 - 1110 K,AC,Fig. 6(a),log sigma-1000/T
"Yang et al., J. Phys. Chem. C 120, 6416 (2016).",10.1021/acs.jpcc.6b00700,2016,"Perovskite-related, others (Nd-layered)",Nd0.95Ba1.05InO3.975,Nd,0.95,,,,,Ba,1.05,,,,,In,1,,,O,3.975,967.9847659,113027.4994,,,,bulk,575 - 1110 K,AC,Fig. 6(b),log sigma-1000/T
"Yang et al., J. Phys. Chem. C 120, 6416 (2016).",10.1021/acs.jpcc.6b00700,2016,"Perovskite-related, others (Nd-layered)",Nd0.9Ba1.1InO3.95,Nd,0.9,,,,,Ba,1.1,,,,,In,1,,,O,3.95,938.9265923,138536.977,,,,bulk,575 - 1110 K,AC,Fig. 6(b),log sigma-1000/T
"Shiraiwa et al., J. Electrochem. Soc. 164, F1392 (2017).",10.1149/2.0411713jes,2017,"Perovskite-related, others (Nd-layered)",Nd0.6Ba1.4InO3.8,Nd,0.6,,,,,Ba,1.4,,,,,In,1,,,O,3.8,1046.065504,75843.51294,,,,total,673 - 1473 K,four-probe DC,Fig. 3,log sigma-1000/T
"Shiraiwa et al., J. Electrochem. Soc. 164, F1392 (2017).",10.1149/2.0411713jes,2017,"Perovskite-related, others (Nd-layered)",Nd0.8Ba1.2InO3.9,Nd,0.8,,,,,Ba,1.2,,,,,In,1,,,O,3.9,936.8507236,99550.97717,,,,total,673 - 1473 K,four-probe DC,Fig. 3,log sigma-1000/T
"Shiraiwa et al., J. Electrochem. Soc. 164, F1392 (2017).",10.1149/2.0411713jes,2017,"Perovskite-related, others (Nd-layered)",Nd0.9Ba1.1InO3.95,Nd,0.9,,,,,Ba,1.1,,,,,In,1,,,O,3.95,846.1960231,42521.36514,,,,total,673 - 1473 K,four-probe DC,Fig. 3,log sigma-1000/T
"McCombie et al., J. Mater. Chem. A 6, 5290 (2018).",10.1039/c7ta08989a,2018,"Perovskite-related, hexagonal",Ba3WNbO8.5,Ba,3,,,,,W,1,Nb,1,,,,,,,O,8.5,1723.945674,14025038944,,,,bulk,733 - 873 K,AC,Fig. 3,log sigma-1000/T
"McCombie et al., J. Mater. Chem. A 6, 5290 (2018).",10.1039/c7ta08989a,2018,"Perovskite-related, hexagonal",Ba3MoNbO8.5,Ba,3,,,,,Mo,1,Nb,1,,,,,,,O,8.5,999.2518443,1349595.404,,,,bulk,733 - 873 K,AC,Fig. 3,log sigma-1000/T
"Long et al., J. Mater. Chem. C 7, 8825 (2019).",10.1039/c9tc02507c,2019,"Perovskite-related, others (Ti-layered)",Bi4Ti3O12,Bi,4,,,,,Ti,3,,,,,,,,,O,12,707.4443597,3775.364172,454.935834,184.9847589,873,bulk,523 - 1073 K,AC,Fig. 2(d),log sigma-1000/T
"Long et al., J. Mater. Chem. C 7, 8825 (2019).",10.1039/c9tc02507c,2019,"Perovskite-related, others (Ti-layered)",Bi3.94Ti3O11.91,Bi,3.94,,,,,Ti,3,,,,,,,,,O,11.91,751.9089662,14982.04883,526.0574694,565.0610213,873,bulk,523 - 1073 K,AC,Fig. 2(d),log sigma-1000/T
"Long et al., J. Mater. Chem. C 7, 8825 (2019).",10.1039/c9tc02507c,2019,"Perovskite-related, others (Ti-layered)",Bi3.88Ti3O11.82,Bi,3.88,,,,,Ti,3,,,,,,,,,O,11.82,772.2886114,34377.24913,501.9372614,597.732601,873,bulk,523 - 1073 K,AC,Fig. 2(d),log sigma-1000/T
"Long et al., J. Mater. Chem. C 7, 8825 (2019).",10.1039/c9tc02507c,2019,"Perovskite-related, others (Ti-layered)",Bi3.88Ti2.96Mg0.04O11.78,Bi,3.88,,,,,Ti,2.96,Mg,0.04,,,,,,,O,11.78,696.0492934,42321.93988,371.7556212,589.927394,873,bulk,523 - 1073 K,AC,Fig. 2(d),log sigma-1000/T
"Long et al., J. Mater. Chem. C 7, 8825 (2019).",10.1039/c9tc02507c,2019,"Perovskite-related, others (Ti-layered)",Bi3.88Ti2.92Mg0.08O11.74,Bi,3.88,,,,,Ti,2.92,Mg,0.08,,,,,,,O,11.74,675.0457362,43915.61679,453.7788116,2396.882907,873,bulk,523 - 1073 K,AC,Fig. 2(d),log sigma-1000/T
"Long et al., J. Mater. Chem. C 7, 8825 (2019).",10.1039/c9tc02507c,2019,"Perovskite-related, others (Ti-layered)",Bi3.88Ti2.88Mg0.12O11.7,Bi,3.88,,,,,Ti,2.88,Mg,0.12,,,,,,,O,11.7,716.0407518,46139.5101,412.2945183,818.8333954,873,bulk,523 - 1073 K,AC,Fig. 2(d),log sigma-1000/T
"Song et al., J. Mater. Chem. A 8, 22206 (2020).",10.1039/d0ta06731h,2020,"Perovskite-related, Ruddlesden-Popper",La2NiO4.16,La,2,,,,,Ni,1,,,,,,,,,O,4.16,677.4774727,82471.3239,,,,total,973 - 1173 K,four-probe DC,Fig. 15,log sigma-1000/T
"Song et al., J. Mater. Chem. A 8, 22206 (2020).",10.1039/d0ta06731h,2020,"Perovskite-related, Ruddlesden-Popper",Nd2NiO4.21,Nd,2,,,,,Ni,1,,,,,,,,,O,4.21,1243.563098,51646975.45,,,,total,973 - 1173 K,four-probe DC,Fig. 15,log sigma-1000/T
"Song et al., J. Mater. Chem. A 8, 22206 (2020).",10.1039/d0ta06731h,2020,"Perovskite-related, Ruddlesden-Popper",La3Ni2O6.92,La,3,,,,,Ni,2,,,,,,,,,O,6.92,801.6853194,13277.23102,,,,total,973 - 1173 K,four-probe DC,Fig. 15,log sigma-1000/T
"Song et al., J. Mater. Chem. A 8, 22206 (2020).",10.1039/d0ta06731h,2020,"Perovskite-related, Ruddlesden-Popper",La4Ni3O9.85,La,4,,,,,Ni,3,,,,,,,,,O,9.85,1442.852702,674097.5872,,,,total,973 - 1173 K,four-probe DC,Fig. 15,log sigma-1000/T
"Song et al., J. Mater. Chem. A 8, 22206 (2020).",10.1039/d0ta06731h,2020,"Perovskite-related, Ruddlesden-Popper",Pr4Ni3O9.79,Pr,4,,,,,Ni,3,,,,,,,,,O,9.79,920.1542756,1963.826595,,,,total,973 - 1173 K,four-probe DC,Fig. 15,log sigma-1000/T
"Song et al., J. Mater. Chem. A 8, 22206 (2020).",10.1039/d0ta06731h,2020,"Perovskite-related, Ruddlesden-Popper",Nd4Ni3O9.78,Nd,4,,,,,Ni,3,,,,,,,,,O,9.78,1542.493858,2732248.795,,,,total,973 - 1173 K,four-probe DC,Fig. 15,log sigma-1000/T
"Fop et al.,  Nat. Mater. 19, 752 (2020).",10.1038/s41563-020-0629-4,2020,"Perovskite-related, hexagonal",Ba7Nb4MoO20,Ba,7,,,,,Nb,4,Mo,1,,,,,,,O,20,507.2612522,2549.672284,,,,bulk,473 - 923 K,AC,Fig. 3,log sigma-1000/T
"Zhang et al., Nat. Commun. 11, 1224 (2020).",10.1038/s41467-020-15043-z,2020,"Perovskite-related, Dion-Jacobson",CsBi2Ti2NbO9.97,Cs,1,,,,,Bi,2,,,,,Ti,2,Nb,1,O,9.97,320.5905202,28.45062878,849.8848745,1056889.276,800,bulk,573 - 1173 K,AC,Fig. 3d,log sigma-1000/T
"Fop et al., Chem. Mater. 32, 4724 (2020).",10.1021/acs.chemmater.0c01322,2020,"Perovskite-related, hexagonal",Ba3Nb0.9V0.1MoO8.5,Ba,3,,,,,Nb,0.9,V,0.1,Mo,1,,,,,O,8.5,1123.194738,12754375.97,,,,total,473 - 873 K,AC,Fig. 2d,log sigma-1000/T
"Gilane et al., J. Mater. Chem. A 8, 16506 (2020).",10.1039/d0ta05581f,2020,"Perovskite-related, hexagonal",Ba3VWO8.5,Ba,3,,,,,V,1,W,1,,,,,,,O,8.5,1222.349113,455623.205,,,,bulk,723 - 1173 K,AC,Fig. 3d,log sigma-1000/T
"Yashima et al., Nat. Comm. 12, 556 (2021).",10.1038/s41467-020-20859-w,2021,"Perovskite-related, hexagonal",Ba7Nb3.9Mo1.1O20.05,Ba,7,,,,,Nb,3.9,Mo,1.1,,,,,,,O,20.05,388.6284691,852.6284853,197.9514694,67.69932389,904.6507688,total,573 - 1173 K,AC,Fig. 1c,log sigma-1000/T
"Sakuda et al., J. Ceram. Soc. Jpn. 130, 442 (2022).",10.2109/jcersj2.130.P7-1,2022,"Perovskite-related, hexagonal",Ba7Nb4MoO20,Ba,7,,,,,Nb,4,,,Mo,1,,,,,O,20,573.7348487,1567.497079,,,,total,673 - 1173 K,DC,Fig. 2(a),log sigma-1000/T
"Sakuda et al., J. Ceram. Soc. Jpn. 130, 442 (2022).",10.2109/jcersj2.130.P7-1,2022,"Perovskite-related, hexagonal",Ba7Nb3.95Cr0.05MoO20.025,Ba,7,,,,,Nb,3.95,Cr,0.05,Mo,1,,,,,O,20.025,524.4980511,1149.059473,,,,total,673 - 1173 K,DC,Fig. 2(a),log sigma-1000/T
"Sakuda et al., J. Ceram. Soc. Jpn. 130, 442 (2022).",10.2109/jcersj2.130.P7-1,2022,"Perovskite-related, hexagonal",Ba7Nb3.9Cr0.1MoO20.05,Ba,7,,,,,Nb,3.9,Cr,0.1,Mo,1,,,,,O,20.05,616.0512914,8190.297703,,,,total,673 - 1173 K,DC,Fig. 2(a),log sigma-1000/T
"Sakuda et al., J. Ceram. Soc. Jpn. 130, 442 (2022).",10.2109/jcersj2.130.P7-1,2022,"Perovskite-related, hexagonal",Ba7Nb3.85Cr0.15MoO20.075,Ba,7,,,,,Nb,3.85,Cr,0.15,Mo,1,,,,,O,20.075,538.1388141,2351.581009,,,,total,673 - 1173 K,DC,Fig. 2(a),log sigma-1000/T
"Sakuda et al., J. Ceram. Soc. Jpn. 130, 442 (2022).",10.2109/jcersj2.130.P7-1,2022,"Perovskite-related, hexagonal",Ba7Nb3.8Cr0.2MoO20.1,Ba,7,,,,,Nb,3.8,Cr,0.2,Mo,1,,,,,O,20.1,521.0345541,2859.116603,,,,total,673 - 1173 K,DC,Fig. 2(a),log sigma-1000/T
